token,ShortName,Series,CompanyName,ticksize,Lotsize,DateOfListing,DateOfDeListing,IssuePrice,FaceValue,ISIN,52WeeksHigh,52WeeksLow,LifeTimeHigh,LifeTimeLow,HighDate,LowDate,Symbol,InstrumentType,PermittedToTrade,IssueCapital,WarningPercent,FreezePercent,CreditRating,IssueRate,IssueStartDate,InterestPaymentDate,IssueMaturityDate,BoardLotQty,Name,ListingDate,ExpulsionDate,ReAdmissionDate,RecordDate,ExpiryDate,NoDeliveryStartDate,NoDeliveryEndDate,MFill,AON,ParticipantInMarketIndex,BookClsStartDate,BookClsEndDate,EGM,AGM,Interest,Bonus,Rights,Dividends,LocalUpdateDateTime,DeleteFlag,Remarks,NormalMarketStatus,OddLotMarketStatus,SpotMarketStatus,AuctionMarketStatus,NormalMarketEligibility,OddLotlMarketEligibility,SpotMarketEligibility,AuctionlMarketEligibility,MarginPercentage,symbol
21614,ADICAP,EQ,ADITYA BIRLA CAPITAL LIMITED,0.01,1,,,0,10.0,INE674K01013,246.9,155.0,255.0,37.35,,,,0,0,0,237.32,194.17,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,ABCAPITAL
21623,APEFRO,EQ,APEX FROZEN FOODS LTD,0.01,1,,,0,10.0,INE346W01013,324.0,188.3,939.0,132.0,,,,0,0,0,306.48,204.32,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,APEX
21644,RANSOL,BE,RANKLIN SOLUTIONS LIMITED,0.01,1,,,0,10.0,INE619C01015,3.3,2.0,30.9,1.9,,,,0,0,0,2.3,2.1,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RANKLIN
21650,CORENG,BE,COROMANDEL ENGINEERING COMPANY,0.01,1,,,0,10.0,INE312J01012,69.0,26.9,69.0,21.53,,,,0,0,0,54.15,36.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,COROENGG
21679,HINMOT,BE,HINDUSTAN MOTORS LIMITED,0.01,1,,,0,5.0,INE253A01025,48.6,14.5,95.0,2.5,,,,0,0,0,25.41,22.99,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,HINDMOTORS
2168,RAJME,EQ,RAJNANDINI METAL LIMITED,0.01,1,,,0,1.0,INE00KV01022,21.35,8.8,32.55,0.55,,,,0,0,0,11.82,7.88,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,RAJMET
21683,BHAROA,EQ,BHARAT ROAD NETWORK,0.01,1,,,0,10.0,INE727S01012,98.5,37.45,218.9,23.0,,,,0,0,0,50.25,41.12,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,BRNL
21690,DIXTEC,EQ,DIXON TECHNOLOGIES INDIA LTD,0.01,1,,,0,2.0,INE935N01020,15494.0,5076.0,15494.0,312.0,,,,0,0,0,16929.6,13851.5,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,DIXON
21691,MAXLIM,SM,MAXPOSURE LIMITED,0.01,1,,,0,10.0,INE0ECC01022,0.0,0.0,145.0,65.55,,,,0,0,0,119.85,79.95,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MAXPOSURE
21697,MANAI,SM,MANAV INFRA PROJECTS LIMITED,0.01,1,,,0,10.0,INE104Y01012,0.0,0.0,33.0,4.2,,,,0,0,0,25.65,23.25,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MANAV
21704,DISCAR,EQ,DISHMAN CARBOGEN AMCIS LIMITED,0.01,1,,,0,2.0,INE385W01011,283.0,133.0,396.4,46.05,,,,0,0,0,224.37,149.58,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,DCAL
21705,MEDASS,EQ,MEDI ASSIST HEALTHCARE SER LTD,0.01,1,,,0,5.0,INE456Z01021,716.15,430.55,716.15,430.55,,,,0,0,0,753.05,502.05,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,MEDIASSIST
21720,VIINFO,BE,CORAL HUB LIMITED,0.01,1,,,0,10.0,INE108J01030,0.0,0.0,457.67,2.85,,,,0,0,0,3.45,3.15,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,CORAL-HUB
21723,LASSUP,BE,LASA SUPERGENERICS LIMITED,0.01,1,,,0,10.0,INE670X01014,41.2,19.0,214.0,9.45,,,,0,0,0,27.45,24.84,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,LASA
